timestamp,percent,state,seconds_left,,,
2025-08-31 12:43,99,Charging,Yes,-,-,
2025-08-31 12:44,99,Charging,Yes,-,-,
2025-08-31 12:44,99,Charging,Yes,-,-,
2025-08-31 12:45,99,Charging,Yes,-,-,
2025-08-31 12:45,99,Charging,Yes,-,-,
2025-08-31 12:46,99,Charging,Yes,-,-,
2025-08-31 12:46,99,Charging,Yes,-,-,
2025-08-31 12:47,99,Charging,Yes,-,-,
2025-08-31 12:47,99,Charging,Yes,-,-,
2025-08-31 12:48,99,Charging,Yes,-,-,
2025-08-31 12:48,99,Charging,Yes,-,-,
2025-08-31 12:49,99,Charging,Yes,-,-,
2025-08-31 12:49,99,Charging,Yes,-,-,
2025-08-31 12:50,99,Charging,Yes,-,-,
2025-08-31 12:50,99,Charging,Yes,-,-,
2025-08-31 12:51,99,Charging,Yes,-,-,
2025-08-31 12:51,99,Charging,Yes,-,-,
2025-08-31 12:52,99,Charging,Yes,-,-,
2025-08-31 12:52,99,Charging,Yes,-,-,
2025-08-31 12:53,99,Charging,Yes,-,-,
2025-08-31 12:53,99,Discharging,No,4294967295,-,UNPLUGGED
2025-08-31 12:54,99,Discharging,No,4294967295,-,
2025-08-31 12:54,99,Discharging,No,4294967295,-,
2025-08-31 12:55,99,Discharging,No,4294967295,-,
2025-08-31 12:55,99,Discharging,No,4294967295,-,
2025-08-31 12:56,99,Discharging,No,4294967295,-,
2025-08-31 12:56,99,Discharging,No,4294967295,-,
2025-08-31 12:57,99,Discharging,No,4294967295,-,
2025-08-31 12:57,99,Charging,Yes,-,-,PLUGGED_IN
2025-08-31 12:58,99,Charging,Yes,-,-,
2025-08-31 12:58,99,Charging,Yes,-,-,
2025-08-31 12:59,99,Charging,Yes,-,-,
2025-08-31 12:59,99,Charging,Yes,-,-,
2025-08-31 13:00,99,Charging,Yes,-,-,
2025-08-31 13:00,99,Charging,Yes,-,-,
2025-08-31 13:01,99,Charging,Yes,-,-,
2025-08-31 13:01,99,Charging,Yes,-,-,
2025-08-31 13:02,99,Charging,Yes,-,-,
2025-08-31 13:02,99,Charging,Yes,-,-,
2025-08-31 13:03,99,Charging,Yes,-,-,
2025-08-31 13:03,99,Charging,Yes,-,-,
2025-08-31 13:04,99,Charging,Yes,-,-,
2025-08-31 13:04,99,Charging,Yes,-,-,
2025-08-31 13:05,99,Charging,Yes,-,-,
2025-08-31 13:05,99,Charging,Yes,-,-,
2025-08-31 13:06,99,Charging,Yes,-,-,
2025-08-31 13:06,99,Charging,Yes,-,-,
2025-08-31 13:07,99,Charging,Yes,-,-,
2025-08-31 13:07,99,Charging,Yes,-,-,
2025-08-31 13:08,99,Charging,Yes,-,-,
2025-08-31 13:08,99,Charging,Yes,-,-,
2025-08-31 13:09,99,Charging,Yes,-,-,
2025-08-31 13:09,99,Charging,Yes,-,-,
2025-08-31 13:10,99,Charging,Yes,-,-,
2025-08-31 13:10,99,Charging,Yes,-,-,
2025-08-31 13:11,99,Charging,Yes,-,-,
2025-08-31 13:11,99,Charging,Yes,-,-,
2025-08-31 13:12,99,Charging,Yes,-,-,
2025-08-31 13:12,99,Charging,Yes,-,-,
